sub,ses,MPM,method,comparand,voxels,nonfinite
1,1,A,sa,nosa,11173793,0
1,1,R1,sa,nosa,11173793,0
1,1,A,sa,exact,11173793,0
1,1,R1,sa,exact,11173793,4
1,1,A,nosa,exact,11173793,0
1,1,R1,nosa,exact,11173793,5
