MPM,approx,bcv
PD,exact,0.48320632147199816
PD,nosa,0.48320632147199816
PD,sa,0.4856858434268494
R1,exact,18.06998050179215
R1,nosa,18.05623320981607
R1,sa,17.61739006342411
