MPM,approx,wcv
PD,exact,1.707625636147947
PD,nosa,1.707625636147947
PD,sa,1.7021916171606977
R1,exact,1.3699191575996306
R1,nosa,1.3669335317800124
R1,sa,1.4070865680574585
